OBJECTID,EPAID,SITENAME,SITEADDR,SITECITY,SITECOUNTY,LATITUDE,LONGITUDE,GEOLOC_COD,SOURCE,Land_Use_R,Vol_Cleanu,Laserfiche,Update Date,x,y
48877,NONCD0001128,RESOLUTION PACKAGING,468 CAROLINA AVE,MARION,MCDOWELL,35.69533,-81.98272,ON SCREEN PLACEMENT ON GEOREFERENCED MAP,ACMEMAPPER,FALSE,FALSE,https://edocs.deq.nc.gov/WasteManagement/Search.aspx?dbid=0&searchcommand=%7B%5BWM%5D:%5BProgram_ID%5D%20%3D%20%22*NONCD0001127*%22%7D,7/2/2026 12:00:00 AM,-81.98272,35.6953300000001
48878,NONCD0001130,SOUTH MAIN ST SEWER LINE EXT,4660 FOLLANSBEE RD,WINSTON-SALEM,FORSYTH,36.018603,-80.247137,ON SCREEN PLACEMENT ON GEOREFERENCED MAP,ACMEMAPPER,FALSE,FALSE,https://edocs.deq.nc.gov/WasteManagement/Search.aspx?dbid=0&searchcommand=%7B%5BWM%5D:%5BProgram_ID%5D%20%3D%20%22*NONCD0001128*%22%7D,7/2/2026 12:00:00 AM,-80.247137,36.018603
48879,NONCD0001132,BALDOR ELECTRIC COMPANY,3821 BARRINGER RD,CHARLOTTE,MECKLENBURG,35.19659,-80.88783,ON SCREEN PLACEMENT ON GEOREFERENCED MAP,ACMEMAPPER,FALSE,FALSE,https://edocs.deq.nc.gov/WasteManagement/Search.aspx?dbid=0&searchcommand=%7B%5BWM%5D:%5BProgram_ID%5D%20%3D%20%22*NONCD0001130*%22%7D,7/2/2026 12:00:00 AM,-80.88783,35.1965900000001
48880,NONCD0001133,BOWMAN GRAY-FRIEDBURG CAMPUS,WELFARE ROAD,WINSTON-SALEM,FORSYTH,35.9981,-80.32772,ON SCREEN PLACEMENT ON GEOREFERENCED MAP,ESRI AGOL BASE MAP,FALSE,FALSE,https://edocs.deq.nc.gov/WasteManagement/Search.aspx?dbid=0&searchcommand=%7B%5BWM%5D:%5BProgram_ID%5D%20%3D%20%22*NONCD0001132*%22%7D,7/2/2026 12:00:00 AM,-80.3277199999999,35.9981000000001
48881,NONCD0001135,LUMBERTON MUNICIPAL AIRPORT,163 AIRPORT BLVD,LUMBERTON,ROBESON,34.6148801,-79.0591816,ON SCREEN PLACEMENT ON GEOREFERENCED MAP,ESRI AGOL BASE MAP,FALSE,FALSE,https://edocs.deq.nc.gov/WasteManagement/Search.aspx?dbid=0&searchcommand=%7B%5BWM%5D:%5BProgram_ID%5D%20%3D%20%22*NONCD0001133*%22%7D,7/2/2026 12:00:00 AM,-79.0591816,34.6148801000001
48882,NONCD0001137,FABCO FASTENING SYSTEMS/DIXIE YARNS,614 NC HWY 200 S,STANFIELD,STANLY,35.22425,-80.41403,ON SCREEN PLACEMENT ON GEOREFERENCED MAP,ACMEMAPPER,FALSE,TRUE,https://edocs.deq.nc.gov/WasteManagement/Search.aspx?dbid=0&searchcommand=%7B%5BWM%5D:%5BProgram_ID%5D%20%3D%20%22*NONCD0001135*%22%7D,7/2/2026 12:00:00 AM,-80.41403,35.22425
48883,NONCD0001138,DEUTSCH RELAYS,2021 GARDNER DR,WILMINGTON,NEW HANOVER,34.276944,-77.9125,GPS (2-5 METER),,FALSE,FALSE,https://edocs.deq.nc.gov/WasteManagement/Search.aspx?dbid=0&searchcommand=%7B%5BWM%5D:%5BProgram_ID%5D%20%3D%20%22*NONCD0001137*%22%7D,7/2/2026 12:00:00 AM,-77.9125,34.2769440000001
48884,NONCD0001139,VERMONT AMERICAN,STATE FARM RD,BOONE,WATAUGA,36.20636,-81.6634,ON SCREEN PLACEMENT ON GEOREFERENCED MAP,ACMEMAPPER,FALSE,TRUE,https://edocs.deq.nc.gov/WasteManagement/Search.aspx?dbid=0&searchcommand=%7B%5BWM%5D:%5BProgram_ID%5D%20%3D%20%22*NONCD0001138*%22%7D,7/2/2026 12:00:00 AM,-81.6634,36.2063600000001
48885,NONCD0001140,PIEDMONT HAWTHORNE,3817 N LIBERTY ST,WINSTON-SALEM,FORSYTH,36.13856,-80.22951,ON SCREEN PLACEMENT ON GEOREFERENCED MAP,ACMEMAPPER,TRUE,FALSE,https://edocs.deq.nc.gov/WasteManagement/Search.aspx?dbid=0&searchcommand=%7B%5BWM%5D:%5BProgram_ID%5D%20%3D%20%22*NONCD0001139*%22%7D,7/2/2026 12:00:00 AM,-80.2295099999999,36.13856
48886,NONCD0001141,DIAZIT COMPANY,941 US HWY 1 S,YOUNGSVILLE,FRANKLIN,36.03661,-78.50246,ON SCREEN PLACEMENT ON GEOREFERENCED MAP,ACMEMAPPER,FALSE,FALSE,https://edocs.deq.nc.gov/WasteManagement/Search.aspx?dbid=0&searchcommand=%7B%5BWM%5D:%5BProgram_ID%5D%20%3D%20%22*NONCD0001140*%22%7D,7/2/2026 12:00:00 AM,-78.50246,36.0366100000001
